time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.71069133407e-08,1.23697617523e-07,10.0073530472,6.28274094388,6.28304057302,0.0,1.15581833725e-05,-1.43943895778e-05,0.245080499077,-0.0294419248589,-0.00773577869333,0.0,480.7234093472049,480.13703012904716,482.15408153503205,479.9250637519913
0.12000000000000001,5.50062649911e-06,-1.68536868797e-05,10.025718554,6.2812747179,6.28278015196,0.0,0.000205907117988,-0.000720047516418,0.367070902044,-0.0159463711866,0.00170767092695,0.0,443.6468305499987,444.4214785518763,443.21738138505657,444.324855154461
0.18,2.57453849545e-05,-0.000103178022031,10.0506964007,6.28007340368,6.28296348778,0.0,0.000454231257744,-0.00226555651621,0.465488199259,-0.0297629310577,0.00562381498813,0.0,436.2019026768315,436.52870166164047,437.32383373687367,436.17164800768757
0.23999999999999996,5.64244045319e-05,-0.000321688017065,10.0849391329,6.2782183265,0.000429038544973,0.0,0.000507967696967,-0.00523307792647,0.675834369969,-0.0333338300548,0.019654749293,0.0,470.25650300380653,471.3418235233359,471.0802930725259,470.8038619478717
0.3,7.56120211341e-05,-0.000729265886051,10.1253882917,6.27636518137,0.00136736598025,0.0,3.84825146969e-05,-0.00851955369315,0.672471916922,-0.0263920474382,0.00606926826343,0.0,404.4797815325968,403.2545502249305,402.330744118957,402.95822730387954
0.36000000000000004,4.73175104639e-05,-0.00139020422982,10.1691228655,6.27467395085,0.0020892869112,0.0,-0.00104011477078,-0.0136810706775,0.785274640884,-0.0320429316828,0.0218754512633,0.0,441.0526574424122,442.35588588025496,441.3934794875432,440.926724265329
0.4200000000000001,-7.18559723723e-05,-0.00242506603841,10.2227114378,6.2727256826,0.00377072704588,0.0,-0.00311288226008,-0.0210433897587,1.00084458118,-0.0333414329125,0.0381203719516,0.0,473.10659757435945,474.35570342327554,471.93665965051275,471.8361061559524
0.48000000000000015,-0.00036454411919,-0.00396020713272,10.2903157307,6.27109909565,0.0062066020852,0.0,-0.00693674861549,-0.0303482336899,1.25238676815,-0.0169006286084,0.0451410327521,0.0,483.60076961657137,484.12994717016755,482.76807296439074,484.00670378513496
0.5400000000000001,-0.000921250129046,-0.00603792245553,10.3687324441,6.26963590959,0.00900539957506,0.0,-0.0119039994914,-0.0390277123332,1.36137626401,-0.0468097115109,0.0494986304059,0.0,441.1820591471509,441.54297513888304,442.5382850301294,440.06949609519535
0.6000000000000002,-0.00179762497718,-0.00861843812097,10.4497305031,6.26681203349,0.0117467847991,0.0,-0.0175492986544,-0.0472259302405,1.33858006954,-0.0475791443019,0.0367122868629,0.0,398.79380515061297,397.6257227307666,397.7828469192907,397.7107726750653
0.6600000000000003,-0.00309757142716,-0.0117941854341,10.532696269,6.26477001421,0.0140570066264,0.0,-0.026007443318,-0.058867418823,1.42683185746,-0.015515221117,0.041864446975,0.0,434.7062531885052,435.13848769068784,433.7301503988056,436.41372366502384
0.7200000000000003,-0.00501081708019,-0.0157767032327,10.6249289011,6.26445828535,0.0161282850616,0.0,-0.0380462496949,-0.0739457737757,1.64729192038,0.0100135758959,0.0127984294201,0.0,476.0660019546393,473.8373505949076,475.3040288999227,477.25639510390346
0.7800000000000004,-0.00769484743057,-0.0206721048224,10.7307699122,6.26547387255,0.0167011004233,0.0,-0.0514984625881,-0.0891262706368,1.88038800905,0.0280428725373,0.00208782325065,0.0,479.79187594125403,478.9779619800625,479.7598526674662,481.1266140856282
0.8400000000000004,-0.0111054115444,-0.0263533028102,10.8450981538,6.26713335942,0.0169148007691,0.0,-0.0622018734198,-0.10008775371,1.93047195414,0.0268774011947,0.00635761059381,0.0,423.5320131139577,423.8989988060068,425.03160076135805,424.93194020972817
0.9000000000000005,-0.0151152429028,-0.0326162408723,10.9596118049,6.26834730569,0.0168948625961,0.0,-0.0714795020231,-0.108559970786,1.88672448145,0.00163331940686,-0.0191237000685,0.0,393.6615320063684,391.2966865895473,393.8178473159771,391.47605220201166
0.9600000000000005,-0.0198066648414,-0.0394878647138,11.0792900549,6.26833060737,0.01559033332,0.0,-0.0847499741629,-0.120483776817,2.10218156141,-0.00440583825682,-0.0275735010183,0.0,474.66133255255454,474.0124855528869,476.93687207687896,476.4754383458596
1.0200000000000005,-0.0252143671443,-0.047029980381,11.2088043586,6.2687096183,0.0146145989651,0.0,-0.0953737865966,-0.130905326403,2.21475214067,0.0219669570331,1.58659840284e-05,0.0,443.94338048650235,446.2013115459899,444.22855854826,446.3857489500279
1.0800000000000005,-0.0312213929178,-0.0551612536439,11.3434758295,6.27024480009,0.0148337963879,0.0,-0.104870293235,-0.139998192874,2.27418186241,0.0319875092761,0.0100838425543,0.0,428.34466148437355,429.19990818845736,428.2293006200702,429.08095339165743
1.1400000000000006,-0.0378920986662,-0.0638783294971,11.487499136,6.27273547223,0.0161292185828,0.0,-0.117605291147,-0.150284754115,2.52607461992,0.0558209129048,0.0380735276691,0.0,486.9587618755022,489.04792040578394,486.0513337514272,487.83486096652007
1.2000000000000006,-0.045354091105,-0.0731345333599,11.6458968802,6.27730404916,0.0184154767717,0.0,-0.131395375157,-0.157753038814,2.75333127241,0.100291201612,0.0381657686903,0.0,481.3480836332232,481.35564267578224,479.8509124725603,483.2184116449857
